#,Práctica,Aplicable a,Importancia,Dificultad de Deducción,Comentarios
48,"Durante competencias y simulaciones mantener una hoja con una tabla donde cada problema tenga su sección, anotando el tema, la dificultad o un resumen breve; tachar los problemas resueltos.",Ambos,Extremadamente importante,Moderadamente deducible,
49,"Durante la primera hora de competencia leer todos los problemas e identificar los fáciles, medios y difíciles.",Ambos,Extremadamente importante,Moderadamente deducible,
50,"Al decidir qué problema resolver a continuación, consultar el scoreboard para guiarse por los problemas mas resueltos, ya que suelen ser los más accesibles.",Ambos,Muy importante,Fácil de deducir,
51,Priorizar el trabajo individual mientras se resuelven problemas fáciles.,Ambos,Muy importante,Moderadamente deducible,
52,Cada miembro del equipo debe estar consciente del estado de la competencia en todo momento.,Ambos,Extremadamente importante,Moderadamente deducible,
53,En las primeras horas de competencia procurar resolver los problemas fáciles y trabajar en los problemas medios.,Ambos,Muy importante,Moderadamente deducible,
54,"Una vez resueltos los problemas fáciles, asegurarse de tener claro de qué tratan los problemas disponibles antes de decidir qué problema resolver a continuación.",Avanzados,Muy importante,Moderadamente deducible,
55,Entre la segunda y cuarta hora de competencia identificar qué problemas difíciles se intentarán resolver.,Avanzados,Muy importante,Difícil de deducir,
56,"Abordar los problemas difíciles desde más temprano si se estima que de esta forma se resolverá una mayor cantidad de problemas, estando conscientes de que eso conlleva el riesgo de una mayor penalidad por tiempo.",Avanzados,Muy importante,Difícil de deducir,
57,"Si se decide trabajar en un problema difícil, empezar lo más antes posible.",Avanzados,Muy importante,Difícil de deducir,
58,Procurar resolver los problemas difíciles en equipo.,Ambos,Extremadamente importante,Moderadamente deducible,
59,"En la última hora y media de competencia, incrementar la prioridad al uso de la computadora para la depuración de errores.",Avanzados,Extremadamente importante,Moderadamente deducible,
60,"Al iniciar la última hora de competencia, analizar la situación del equipo en la competencia y decidir en qué problemas se trabajará.",Avanzados,Extremadamente importante,Moderadamente deducible,
61,"En la última media hora de competencia, concentrarse únicamente en un problema los tres integrantes del equipo al mismo tiempo.",Avanzados,Extremadamente importante,Moderadamente deducible,
62,"Durante la competencia, actuar objetivamente, enfocándose en resolver la mayor cantidad de problemas con la menor penalización posible.",Avanzados,Extremadamente importante,Moderadamente deducible,
63,"Durante la competencia, procurar actuar de tal forma que se minimicen los errores.",Avanzados,Extremadamente importante,Moderadamente deducible,
64,Evitar peleas y tonos defensivos entre compañeros de equipo.,Ambos,Extremadamente importante,Fácil de deducir,
65,No perder los estribos durante la competencia y siempre tratar de dar lo mejor de uno mismo.,Ambos,Extremadamente importante,Fácil de deducir,
66,"Ya que no se tiene información perfecta, tomar riesgos.",Iniciales,Importante,Moderadamente deducible,
67,"Al inicio de la competencia, echar un vistazo a los enunciados de los problemas para elegir cual leer primero basándose en intuición y simplicidad del enunciado.",Ambos,Extremadamente importante,Moderadamente deducible,
68,"Al inicio de la competencia, hacer lecturas rápidas de los problemas con el objetivo inicial de identificar los más fáciles.",Ambos,Extremadamente importante,Moderadamente deducible,
69,"Al leer un problema, identificar si los primeros párrafos son una historia no relacionada a lo que te pide el problema para saltarse esa parte.",Ambos,Extremadamente importante,Difícil de deducir,
70,"Al leer un problema, prestar atención a cada vez que aparece algún número o variable.",Ambos,Extremadamente importante,Moderadamente deducible,
71,"Al leer un problema, prestar atención a definiciones o descripciones de procedimientos, estos suelen estar listados.",Ambos,Muy importante,Moderadamente deducible,
72,"Al leer un problema, prestar atención a las últimas oraciones del enunciado, ahí suelen resumir en pocas palabras qué es lo que pide el problema.",Ambos,Extremadamente importante,Moderadamente deducible,
73,"Al leer un problema, prestar atención a los límites establecidos en la descripción del input, esto suele dar pistas acerca de qué técnicas o algoritmos se pueden aplicar para la resolución del problema.",Avanzados,Extremadamente importante,Moderadamente deducible,
74,"Al leer un problema, prestar atención a la descripción del output, esto suele describir en pocas palabras lo que pide el problema.",Ambos,Extremadamente importante,Difícil de deducir,
75,"Al leer un problema, tener en cuenta que si algo no está escrito en el enunciado, no significa que sea falso, y si algo no está escrito en el enunciado, no significa que sea verdadero.",Ambos,Muy importante,Difícil de deducir,
76,Leer detalladamente un problema si no se cuenta con la suficiente confianza o experiencia para determinar que se lo ha entendido en la primera leída.,Iniciales,Muy importante,Moderadamente deducible,
77,"Al leer detalladamente un problema, formular preguntas después de leer cada oración, por ejemplo: ¿Esto qué significa realmente? ¿Esto puede dar origen a algún caso especial? ¿Será que este detalle sea crucial para hallar la solución al problema? ¿Es esta información útil?",Iniciales,Muy importante,Moderadamente deducible,
78,"Leer detalladamente un problema si es que no surgen ideas para abordar la solución, con el proposito de encontrar nuevos detalles",Avanzados,Extremadamente importante,Moderadamente deducible,
79,Leer detalladamente un problema si es que no se ha conseguido un veredicto aceptado al enviarlo.,Ambos,Extremadamente importante,Fácil de deducir,
80,Hacer una lluvia de ideas de algoritmos posibles que puedan resolver el problema y elegir el más fácil de modelar y codificar que funcione.,Avanzados,Poco importante,Difícil de deducir,
81,"Utilizar modelado matemático, transformación del problema o proposición de conjeturas con el fin de simplificar la solución del problema o el diseño del algoritmo. ",Avanzados,Muy importante,Difícil de deducir,
82,"Cuando el problema requiera de cálculos matemáticos, anotar con claridad en papel las fórmulas simplificadas, listas para copiarlas directamente en el código.",Avanzados,Muy importante,Moderadamente deducible,
83,"Para abordar un problema desafiante, proceder con calma, seleccionar los detalles relevantes y usarlos para deducir nuevos aspectos, formando así una cadena de implicaciones que lleve a la solución.",Avanzados,Extremadamente importante,Moderadamente deducible,
84,"Evitar la visión de túnel, mantener la mente abierta y si un problema no sale, pasarse a otro o intentar otras aproximaciones a la solución.",Ambos,Importante,Difícil de deducir,
85,Optar por que una sola persona escriba el código de la solución.,Ambos,Muy importante,Moderadamente deducible,
86,"Al resolver un problema en grupo, optar por que la persona que estime menor tiempo para programar la solución lo haga, considerando su experiencia y conocimiento en el tema.",Ambos,Extremadamente importante,Fácil de deducir,
87,"Si varios miembros pueden implementar la solución al mismo problema en un tiempo similar, elegir quién escribirá el código según sus habilidades y su capacidad para abordar los problemas restantes, priorizando el balance de la carga de trabajo.",Avanzados,Extremadamente importante,Fácil de deducir,
88,"Cuando dos integrantes tengan cada uno un problema distinto listo para programar, priorizar el que se estime que tomará menos tiempo implementar su código.",Ambos,Extremadamente importante,Fácil de deducir,
89,"Antes de comenzar a escribir código, escribir en papel la composición del código a ser escrito a grandes rasgos, el ideal es escribir código sin dudar y reducir el tiempo de depuración al mínimo.",Avanzados,Importante,Moderadamente deducible,
90,"Si la computadora está ocupada y se tiene pensado el diseño del algoritmo para un problema, escribir en papel el código de la solución.",Avanzados,Importante,Moderadamente deducible,
91,"En una competencia oficial, si se necesita un algoritmo que está escrito en el team notebook, copiarlo del notebook.",Ambos,Importante,Moderadamente deducible,
92,"Cada que se escriba un bloque de código, por ejemplo, lectura de datos o la construcción de una estructura, compilar el código y corregir los errores de sintaxis.",Iniciales,Importante,Moderadamente deducible,
93,"Cada que se escriba un bloque de código, leerlo y revisar si existe algún error lógico o de escritura.",Iniciales,Muy importante,Moderadamente deducible,
94,Durante la escritura de código escribir comentarios resaltando la lógica de cada bloque de código.,Iniciales,Importante,Moderadamente deducible,
95,Usar memoria extra si es que ayuda a simplificar la solución o acelerar el algoritmo.,Avanzados,Muy importante,Difícil de deducir,
96,"Utilizar fuerza bruta en cuanto se pueda, los algoritmos de fuerza bruta suelen ser más fáciles de implementar.",Avanzados,Muy importante,Difícil de deducir,
97,No escribir código lo más rápido ni lo más corto posible; priorizar la claridad y simplicidad.,Iniciales,Importante,Moderadamente deducible,
98,"Solo usar la computadora para escribir, evitar pensar mientras se ocupa la computadora.",Avanzados,Muy importante,Moderadamente deducible,
99,Armar casos de prueba a mano para probar el código antes de enviarlo; un compañero que no esté codificando podría asistir en esta tarea.,Avanzados,Extremadamente importante,Difícil de deducir,
100,"Antes de enviar el código, realizar una revisión rápida a la lógica de la solución y a la estructura del código.",Avanzados,Muy importante,Fácil de deducir,
101,"En una competencia oficial, mandar a imprimir el código inmediatamente después de enviar una solución al juez, para poder revisarlo sin ocupar la computadora en caso de ser rechazado.",Ambos,Importante,Moderadamente deducible,
102,"Durante la competencia, guardar todas las versiones del código que se escriban.",Avanzados,Poco importante,Moderadamente deducible,
103,"Si un envío es rechazado por el juez, no entrar en pánico, enfocarse en encontrar el error.",Ambos,Extremadamente importante,Fácil de deducir,
104,Evitar buscar errores en el código leyendo detalladamente línea por línea mientras se ocupa la computadora.,Avanzados,Muy importante,Fácil de deducir,
105,"Para detectar errores en el código durante la depuración, escribir rutinas de impresión del estado de las variables en varios bloques de código, hacer correr contra varios casos de prueba, imprimir físicamente los resultados y analizarlos dejando la computadora libre.",Ambos,Muy importante,Fácil de deducir,
106,"No borrar las rutinas de impresión que se escribieron para depuración de código, mejor es comentarlas.",Ambos,Muy importante,Moderadamente deducible,
107,"Para validar o encontrar errores en el código, hacer pruebas de estrés, generar casos de prueba aleatorios y probar el código contra una solución menos eficiente, de la cual se tenga certeza de su correctitud.",Avanzados,Extremadamente importante,Difícil de deducir,
108,"Después de 5 envíos incorrectos, pasarse a otro problema.",Ambos,Importante,Moderadamente deducible,
Sección G,Después de la Competencia: Prácticas orientadas al análisis y mejora continua tras la participación en competencias.,,,,
109,No decepcionarse por tener un desempeño no deseado en alguna competencia.,Iniciales,Extremadamente importante,Difícil de deducir,
110,"Después de una simulación o competencia oficial, discutir con el equipo qué se hizo bien, qué se hizo mal y qué se puede mejorar, también evaluar el desempeño de las estrategias aplicadas.",Avanzados,Extremadamente importante,Moderadamente deducible,
111,"Después de simular o participar en una competencia resolver un problema que se podía haber resuelto en la competencia, pero por motivos de tiempo o toma de decisiones no se logró.",Ambos,Extremadamente importante,Difícil de deducir,
112,"Después de simular o participar en una competencia resolver un problema que tomaría una cantidad exagerada de tiempo en resolver, o que no se cuente con la suficiente capacidad o el conocimiento para resolverlo. Hacerlo con ayuda de la editorial y con la lectura de códigos aceptados de ese problema o con la ayuda de otra persona que sí lo resolvió.",Avanzados,Extremadamente importante,Difícil de deducir,
